Time Series,inr,month,year,month_year
2019-01-01,70.71,1,2019,2019-01
2019-02-01,71.1739,2,2019,2019-02
2019-03-01,69.4895,3,2019,2019-03
2019-04-01,69.4068,4,2019,2019-04
2019-05-01,69.7827,5,2019,2019-05
2019-06-01,69.388,6,2019,2019-06
2019-07-01,68.7391,7,2019,2019-07
2019-08-01,71.1891,8,2019,2019-08
2019-09-01,71.311,9,2019,2019-09
2019-10-01,71.0086,10,2019,2019-10
2019-11-01,71.4942,11,2019,2019-11
2019-12-01,71.1567,12,2019,2019-12
2020-01-01,71.279,1,2020,2020-01
2020-02-01,71.5295,2,2020,2020-02
2020-03-01,74.5482,3,2020,2020-03
2020-04-01,76.1682,4,2020,2020-04
2020-05-01,75.6575,5,2020,2020-05
2020-06-01,75.7077,6,2020,2020-06
2020-07-01,74.9286,7,2020,2020-07
2020-08-01,74.5657,8,2020,2020-08
2020-09-01,73.5233,9,2020,2020-09
2020-10-01,73.5648,10,2020,2020-10
2020-11-01,74.2311,11,2020,2020-11
2020-12-01,73.6195,12,2020,2020-12
2021-01-01,73.1106,1,2021,2021-01
2021-02-01,72.8053,2,2021,2021-02
2021-03-01,72.8196,3,2021,2021-03
2021-04-01,74.5186,4,2021,2021-04
2021-05-01,73.2065,5,2021,2021-05
2021-06-01,73.5782,6,2021,2021-06
2021-07-01,74.539,7,2021,2021-07
2021-08-01,74.1155,8,2021,2021-08
2021-09-01,73.6357,9,2021,2021-09
2021-10-01,74.92,10,2021,2021-10
2021-11-01,74.477,11,2021,2021-11
2021-12-01,75.3948,12,2021,2021-12
2022-01-01,74.4075,1,2022,2022-01
